[2025-02-23 17:16:43 | 0x21e6...7F2c] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:43 | 0x21e6...7F2c] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:43 | 0x4e50...A51F] 🔹 Processing wallet: 0x4e50...A51F
[2025-02-23 17:16:43 | 0x4e50...A51F] 🔹 Requesting challenge...
[2025-02-23 17:16:48 | 0x4e50...A51F] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:48 | 0x4e50...A51F] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:48 | 0xd70C...99E2] 🔹 Processing wallet: 0xd70C...99E2
[2025-02-23 17:16:48 | 0xd70C...99E2] 🔹 Requesting challenge...
[2025-02-23 17:16:53 | 0xd70C...99E2] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:53 | 0xd70C...99E2] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:53 | 0x7606...3b1C] 🔹 Processing wallet: 0x7606...3b1C
[2025-02-23 17:16:53 | 0x7606...3b1C] 🔹 Requesting challenge...
[2025-02-23 17:16:58 | 0x7606...3b1C] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:58 | 0x7606...3b1C] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:58 | 0x2277...a323] 🔹 Processing wallet: 0x2277...a323
[2025-02-23 17:16:58 | 0x2277...a323] 🔹 Requesting challenge...
[2025-02-23 17:17:03 | 0x2277...a323] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:03 | 0x2277...a323] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:03 | 0x36Bb...9B5C] 🔹 Processing wallet: 0x36Bb...9B5C
[2025-02-23 17:17:03 | 0x36Bb...9B5C] 🔹 Requesting challenge...
[2025-02-23 17:17:08 | 0x36Bb...9B5C] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:08 | 0x36Bb...9B5C] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:08 | 0x1596...E5db] 🔹 Processing wallet: 0x1596...E5db
[2025-02-23 17:17:08 | 0x1596...E5db] 🔹 Requesting challenge...
[2025-02-23 17:17:13 | 0x1596...E5db] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:13 | 0x1596...E5db] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:13 | 0x7f9A...Ae67] 🔹 Processing wallet: 0x7f9A...Ae67
[2025-02-23 17:17:13 | 0x7f9A...Ae67] 🔹 Requesting challenge...
[2025-02-23 17:17:19 | 0x7f9A...Ae67] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:19 | 0x7f9A...Ae67] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:19 | 0x1a73...3A1B] 🔹 Processing wallet: 0x1a73...3A1B
[2025-02-23 17:17:19 | 0x1a73...3A1B] 🔹 Requesting challenge...
[2025-02-23 17:17:24 | 0x1a73...3A1B] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:24 | 0x1a73...3A1B] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:24 | 0x5e63...405e] 🔹 Processing wallet: 0x5e63...405e
[2025-02-23 17:17:24 | 0x5e63...405e] 🔹 Requesting challenge...
[2025-02-23 17:17:29 | 0x5e63...405e] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:29 | 0x5e63...405e] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:29 | 0x1Afe...13bF] 🔹 Processing wallet: 0x1Afe...13bF
[2025-02-23 17:17:29 | 0x1Afe...13bF] 🔹 Requesting challenge...
